text,char_count,word_count,digit_count,special_char_count,matched_keywords,keyword_count,avg_word_length,text_clean,text_words
液压缸缓冲装置失效，行程末端冲击过大,18,2,0,0,"液压缸, 缓冲装置",2,9.0,液压缸缓冲装置失效行程末端冲击过大,"['液压缸', '缓冲', '装置', '失效', '行程', '末端', '冲击', '过大']"
变频器过流跳闸，输出电流超额定30%,18,2,2,1,变频器,1,9.0,变频器过流跳闸输出电流超额定30%,"['变频器', '过流', '跳闸', '输出', '电流', '超额', '30%']"
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,28,2,4,3,"绝缘, 电机",2,14.0,电机环境湿度80%时出现绝缘不良绝缘电阻低于0.5MΩ,"['电机', '环境湿度', '80%', '绝缘', '不良', '绝缘', '电阻', '低于', '0.5']"
变频器频率漂移，设定50Hz实际输出45Hz,22,2,4,4,变频器,1,11.0,变频器频率漂移设定50Hz实际输出45Hz,"['变频器', '频率', '漂移', '50Hz', '输出', '45Hz']"
继电器接触不良，信号传输时断时续,16,2,0,0,"信号, 继电器",2,8.0,继电器接触不良信号传输时断时续,"['继电器', '接触不良', '信号', '传输', '时断时续']"
传感器量程超限，显示值固定为最大值,17,2,0,0,无,0,8.5,传感器量程超限显示值固定为最大值,"['传感器', '量程', '超限', '固定', '最大值']"
PLC通讯故障，与变频器的Modbus连接中断,23,2,0,1,"通讯, 故障, PLC, 中断, 变频器, Modbus",6,11.5,PLC通讯故障与变频器的Modbus连接中断,"['PLC', '通讯', '故障', '变频器', 'Modbus', '连接', '中断']"
轴承磨损异响，运转时出现周期性异音,17,2,0,0,"异响, 磨损, 轴, 轴承",4,8.5,轴承磨损异响运转时出现周期性异音,"['轴承', '磨损', '异响', '运转', '周期性', '异音']"
PLC信号丢失，传感器反馈数据无更新,18,2,0,0,"信号, PLC",2,9.0,PLC信号丢失传感器反馈数据无更新,"['PLC', '信号', '丢失', '传感器', '反馈', '数据', '更新']"
继电器吸合不良，线圈电压正常但触点未闭合,20,2,0,0,继电器,1,10.0,继电器吸合不良线圈电压正常但触点未闭合,"['继电器', '吸合', '不良', '线圈', '电压', '正常', '触点', '闭合']"
电机过载停机，故障代码E012，需重启复位,21,3,3,0,"过载, 故障代码, 电机, 故障",4,7.0,电机过载停机故障代码E012需重启复位,"['电机', '过载', '停机', '故障', '代码', 'E012', '重启', '复位']"
离心泵轴承发热，温度达75℃,14,2,2,1,"轴, 轴承",2,7.0,离心泵轴承发热温度达75℃,"['离心泵', '轴承', '发热', '温度']"
传感器响应延迟，信号滞后2秒,14,2,1,0,信号,1,7.0,传感器响应延迟信号滞后2秒,"['传感器', '响应', '延迟', '信号', '滞后']"
离心泵空转异响，进口阀门未打开导致气蚀,19,2,0,0,异响,1,9.5,离心泵空转异响进口阀门未打开导致气蚀,"['离心泵', '空转', '异响', '进口', '阀门', '打开', '气蚀']"
液压缸密封件损坏导致漏油，每小时泄漏5ml,21,2,1,0,"液压缸, 泄漏",2,10.5,液压缸密封件损坏导致漏油每小时泄漏5ml,"['液压缸', '密封件', '损坏', '漏油', '小时', '泄漏', '5ml']"
变频器散热风扇故障，散热片温度达75℃,19,2,2,1,"风扇, 故障, 变频器",3,9.5,变频器散热风扇故障散热片温度达75℃,"['变频器', '散热', '风扇', '故障', '散热片', '温度']"
电机负载达额定120%时出现过热，绕组温度升至105℃,27,2,6,2,电机,1,13.5,电机负载达额定120%时出现过热绕组温度升至105℃,"['电机', '负载', '额定', '120%', '过热', '绕组', '温度', '升至']"
传感器无输出信号，接线端子接触不良,17,2,0,0,信号,1,8.5,传感器无输出信号接线端子接触不良,"['传感器', '输出', '信号', '接线', '端子', '接触不良']"
变频器过压报警，直流母线电压达800V,19,2,3,0,变频器,1,9.5,变频器过压报警直流母线电压达800V,"['变频器', '过压', '报警', '直流', '线电压', '800V']"
变频器参数紊乱，加速时间被异常修改,17,2,0,0,"参数, 变频器",2,8.5,变频器参数紊乱加速时间被异常修改,"['变频器', '参数', '紊乱', '加速', '时间', '异常', '修改']"
轴承润滑脂干涸，出现干摩擦异响,15,2,0,0,"异响, 轴, 轴承, 润滑脂",4,7.5,轴承润滑脂干涸出现干摩擦异响,"['轴承', '润滑脂', '干涸', '摩擦', '异响']"
继电器线圈烧毁，电阻值无穷大,14,2,0,0,继电器,1,7.0,继电器线圈烧毁电阻值无穷大,"['继电器', '线圈', '烧毁', '电阻值', '无穷大']"
电机连续运行8小时后出现异响，振动值超额定20%,24,2,3,1,"振动, 异响, 电机",3,12.0,电机连续运行8小时后出现异响振动值超额定20%,"['电机', '连续', '小时', '异响', '振动', '超额', '20%']"
离心泵流量不足，出口管路堵塞,14,2,0,0,无,0,7.0,离心泵流量不足出口管路堵塞,"['离心泵', '流量', '不足', '出口', '管路', '堵塞']"
PLC程序报错，梯形图逻辑错误导致误动作,20,2,0,0,"程序, PLC",2,10.0,PLC程序报错梯形图逻辑错误导致误动作,"['PLC', '程序', '报错', '梯形图', '逻辑', '错误', '误动作']"
PLC断电记忆丢失，参数恢复至出厂默认值,20,2,0,0,"参数, PLC",2,10.0,PLC断电记忆丢失参数恢复至出厂默认值,"['PLC', '断电', '记忆', '丢失', '参数', '恢复', '出厂', '默认值']"
液压缸动作卡顿，换向时出现滞涩现象,17,2,0,0,液压缸,1,8.5,液压缸动作卡顿换向时出现滞涩现象,"['液压缸', '动作', '卡顿', '换向', '滞涩', '现象']"
液压缸活塞杆变形，伸出时出现偏斜,16,2,0,0,"液压缸, 活塞杆, 变形",3,8.0,液压缸活塞杆变形伸出时出现偏斜,"['液压缸', '活塞杆', '变形', '伸出', '偏斜']"
继电器触点烧蚀，接触电阻增大至5Ω,17,2,1,1,继电器,1,8.5,继电器触点烧蚀接触电阻增大至5Ω,"['继电器', '触点', '烧蚀', '接触', '电阻', '增大']"
离心泵密封泄漏，机械密封端面磨损,16,2,0,0,"磨损, 泄漏",2,8.0,离心泵密封泄漏机械密封端面磨损,"['离心泵', '密封', '泄漏', '机械', '密封', '端面', '磨损']"
轴承间隙过大，径向游隙超0.15mm,18,2,3,0,"轴, 轴承",2,9.0,轴承间隙过大径向游隙超0.15mm,"['轴承', '间隙', '过大', '径向', '游隙', '0.15', 'mm']"
轴承滚珠破损，振动频谱出现冲击峰值,17,2,0,0,"振动, 轴, 轴承",3,8.5,轴承滚珠破损振动频谱出现冲击峰值,"['轴承', '滚珠', '破损', '振动', '频谱', '冲击', '峰值']"
继电器误动作，无输入信号时触点自行闭合,19,2,0,0,"信号, 继电器",2,9.5,继电器误动作无输入信号时触点自行闭合,"['继电器', '误动作', '输入', '信号', '触点', '自行', '闭合']"
离心泵叶轮磨损，流量下降至额定70%,18,2,2,1,磨损,1,9.0,离心泵叶轮磨损流量下降至额定70%,"['离心泵', '叶轮', '磨损', '流量', '下降', '额定', '70%']"
电机轴承润滑不足导致转速异常，输出转速波动±5%,24,2,1,1,"转速, 轴, 轴承, 电机",4,12.0,电机轴承润滑不足导致转速异常输出转速波动5%,"['电机', '轴承', '润滑', '不足', '转速', '异常', '输出', '转速', '波动', '5%']"
PLC输入输出点I0.2损坏，无信号输入,20,2,2,0,"信号, 输入输出, PLC",3,10.0,PLC输入输出点I0.2损坏无信号输入,"['PLC', '输入输出', 'I0.2', '损坏', '信号', '输入']"
轴承温升过高，连续运行2小时后温度达80℃,21,2,3,1,"轴, 轴承, 温升",3,10.5,轴承温升过高连续运行2小时后温度达80℃,"['轴承', '温升过', '连续', '小时', '温度']"
传感器抗干扰差，受电磁干扰出现跳变,17,2,0,0,无,0,8.5,传感器抗干扰差受电磁干扰出现跳变,"['传感器', '抗干扰', '差受', '电磁干扰', '跳变']"
传感器数值漂移，测量值比实际值高10%,19,2,2,1,无,0,9.5,传感器数值漂移测量值比实际值高10%,"['传感器', '数值', '漂移', '值比', '值高', '10%']"
液压缸压力不足，工作压力仅达额定60%,19,2,2,1,"压力不足, 液压缸",2,9.5,液压缸压力不足工作压力仅达额定60%,"['液压缸', '压力', '不足', '工作', '压力', '仅达', '额定', '60%']"
